,y,age
0,1,18
1,0,19
2,0,20
3,0,21
4,0,22
5,0,23
6,0,24
7,0,25
8,0,26
9,0,27
10,0,28
11,0,29
12,0,30
13,0,31
14,0,32
15,0,33
16,0,34
17,0,35
18,0,36
19,0,37
20,0,38
21,0,39
22,0,40
23,0,41
24,0,42
25,0,43
26,0,44
27,0,45
28,0,46
29,0,47
30,0,48
31,0,49
32,0,50
33,0,51
34,0,52
35,0,53
36,0,54
37,0,55
38,0,56
39,0,57
40,0,58
41,0,59
42,0,60
43,0,61
44,0,62
45,0,63
46,0,64
47,0,65
48,0,66
49,0,67
50,1,68
51,0,69
52,0,70
53,1,71
54,0,72
55,1,73
56,0,74
57,0,75
58,0,76
59,1,77
60,0,78
61,0,79
62,0,80
63,0,81
64,1,82
65,0,83
66,0,84
67,1,85
68,0,86
69,1,87
70,1,88
71,0,89
72,1,90
73,1,91
74,1,92
75,1,93
76,0,94
